ID,Method,t,B_area_km2,A_area_km2,Loss_km2,Stable_km2,Gain_km2,pct_delta,J_t
E3,SSDM,0.25,30.427332956273105,51.82267497597997,17.900450075038385,12.526882881234512,39.29579209476977,70.31619251826623,0.17968669950269384
E3,SSDM,0.5,18.27383761691696,25.11574466098673,15.758259263053658,2.5155783538628524,22.60016630712644,37.44099727435409,0.0615537192769958
E3,SSDM,0.75,12.581578722434427,6.40948786924759,12.4577507887967,0.12382793363796245,6.285659935609631,-49.056569047104375,0.006564262412003223
E3,h2o,0.25,59.3469854223436,86.9207555973753,14.476885100144997,44.8701003222315,42.05065527507897,46.46195586650713,0.442513960438869
E3,h2o,0.5,52.39940702375567,61.44395920223075,15.844865457178576,36.55454156660558,24.88941763566865,17.260791089438595,0.47294173032338366
E3,h2o,0.75,10.234787826206787,39.741855782799426,10.100324782502698,0.13446304370361545,39.60739273909962,288.301706470534,0.0026984457685736906
E4,SSDM,0.25,30.666824384548004,49.62760809912649,25.010220042633552,5.656604341919928,43.97100375724014,61.82832456604863,0.07579870559886921
E4,SSDM,0.5,19.28556590111587,31.417706182215504,19.165630811559744,0.11993508955581492,31.297771092660284,62.90787806438007,0.0023713026399626897
E4,SSDM,0.75,13.550998949637222,17.607271080711943,13.550998949637222,0,17.607271080711943,29.933380897969244,0
E4,h2o,0.25,58.3006669371326,80.072387491829,18.833930999626517,39.46673593755196,40.6056515542443,37.34386191186033,0.3990162967840666
E4,h2o,0.5,18.652327945566153,61.34562498115074,17.977991087508844,0.6743368580564144,60.67128812309555,228.8899120805627,0.008501645243246753
E4,h2o,0.75,10.872631733056103,42.827867496241495,10.78632262813187,0.0863091049245372,42.74155839131872,293.90525263567764,0.0016098867811096288
E5,SSDM,0.25,35.35207006022753,24.39877220509171,11.106154668508577,24.24591539171528,0.15285681337898932,-30.983469529437013,0.6829204955924464
E5,SSDM,0.5,19.89131679687157,12.892123520928816,10.1655876793252,9.725729117539482,3.1663944033927294,-35.18717914664936,0.4218134270832583
E5,SSDM,0.75,8.529773662011442,1.3965547145903738,7.358673344488037,1.1711003175228403,0.22545439706754783,-83.627294580979,0.13375572649410514
E5,h2o,0.25,66.72561954997975,70.75561921081842,3.792617889703722,62.93300166031967,7.822617550533165,6.039658661872839,0.8442007062538792
E5,h2o,0.5,52.90344547401597,59.18428932850002,4.845034705195872,48.058410768821815,11.125878559706807,11.872277501413308,0.7505711679850128
E5,h2o,0.75,42.736077298377054,45.64210301901113,3.845296785799985,38.89078051259426,6.751322506433645,6.799935568125799,0.7858512134773369
