ID,Method,Gain_km2,pct_delta,J_t
E3,SSDM,39.471,71.981,0.177
E3,SSDM,22.603,37.43,0.061
E3,SSDM,6.281,-50.178,0.007
E3,h2o,42.272,46.373,0.439
E3,h2o,59.364,234.589,0.027
E3,h2o,39.596,246.564,0.003
E4,SSDM,43.991,62.55,0.076
E4,SSDM,31.287,64.924,0.003
E4,SSDM,17.607,32.643,0
E4,h2o,40.236,33.897,0.398
E4,h2o,26.024,13.884,0.442
E4,h2o,42.72,294.164,0.002
E5,SSDM,0.153,-30.983,0.683
E5,SSDM,3.166,-35.187,0.422
E5,SSDM,0.225,-83.627,0.134
E5,h2o,7.42,4.56,0.843
E5,h2o,11.371,12.478,0.747
E5,h2o,6.615,6.453,0.789
